subject,exam_name,paper_number,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,unique_question_id,question_type
Anthropology,Question Papers of NET Dec. 2012,Paper III,1,भारतीय मध्य पाषाणकाल निम्नलिखित में से किस स्थान पर सर्वोत्तम प्रदर्शित है ?,गिद्दालूर,नेवासा,टेरी समूह,बागोर,D,ANT_b9654831,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,2,"पूर्व की क्रियाकलापों को बनाए रखना और उसका पुनर्निर्माण, निम्नलिखित शाखाओं में से किस शाखा का उद्देश्य है ?",टाइपो - प्रौद्योगिकी,जीओ - क्रोनोलोजी,नया - पुरातत्त्व - विज्ञान,कार्य - पुरातत्व - विज्ञान,C,ANT_c71e5875,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,3,निम्नलिखित में से कौन-सा स्थान राजस्थान में स्थित है ?,किल्ली घुल मोहम्मद,कयाथा,अहार,नेवडटोल्ली,C,ANT_f75a3bec,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,4,"नव पाषाणकाल की संस्कृति के साथ एश माउंडस, निम्नलिखित स्थानों में से किस स्थान पर पाए जाते हैं ?",हड़प्पा,मीठाथाल,जोर्वे,अटनूर,D,ANT_ebbf02f9,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,5,"शारीरिक आक्रामकता के उन्माद की अस्थायी स्थिति के रूप में सांस्कृतिक आबद्ध सिंड्रोम को मलय आबादी में सामान्यतः पाया जाता है, जिसे निम्नलिखित में क्या कहा जाता है ?",सुष्टो,कोरो,अमोक,लाटाह,C,ANT_08d2bae7,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,6,"""पोलिटिक्स ऑफ अनटचेबिलिटी” नामक पुस्तक निम्नलिखित में से किसने लिखी है ?",बी.आर. अम्बेडकर,एम.एन. श्रीनिवास,ओवन लिंच,मार्विन हैरीस,C,ANT_8ab327f0,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,7,निम्नलिखित में से किसने धर्म को सामाजिक व्यवहार और जादू को व्यक्तिगत व्यवहार के रूप में उल्लेखित किया है ?,ई. दुर्खीम,ई. आर. लीच,बी. आर. मैलिनोवस्की,जेम्स फ्रैज़र,A,ANT_1b56e04a,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,8,संस्कृति के एक रेखीय विकास का प्रतिपादन निम्नलिखित में से किसने किया है ?,बी. मैलिनोवस्की,जूलियन स्टेवर्ड,एल.एच. मोर्गन,लेज्ली ह्वाइट,C,ANT_070f6f37,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,9,निम्नलिखित में से कौन ब्रिटिश स्कूल ऑफ डिफ्यूजन से संबद्ध था/थे -,जी.ई. स्मिथ,डब्ल्यू.जे. पेरी,डब्ल्यू.एच. आर. रिवर्स,उपर्युक्त सभी,D,ANT_066416ab,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,10,"निम्नलिखित मानवविज्ञानियों में से ""ग्रेट और लिटिल ट्रेडिशन” के द्विध्रुवी मॉडल की व्याख्या किसने की है ?",रॉबर्ट रेडफील्ड,मेकिम मेरिऑट,एम.एन. श्रीनिवास,एस.सी. दुबे,A,ANT_1e61dec2,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,11,"क्वाशिओरकोर एक ऐसी स्थिति है, जो निम्नलिखित में से किससे संबन्धित होती है ?",जिंक अल्पता,प्रोटीन - ऊर्जा कुपोषण,लोह अल्पता,प्रोटीन की कमी,B,ANT_9f43e353,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,12,आयुजनित विकृति की प्रक्रिया को निम्नलिखित में से किस के रूप में जाना जाता है ?,वार्धक्या,डिमेन्शिया,अचानक वृद्धि,परिपक्वता,A,ANT_5a50a544,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,13,जीन की आवृत्ति में परिवर्तन करने वाले कारक हैं :,प्राकृतिक चयन और परिपक्वता,यादृच्छिक संगम और गैर-समरक्त संगम,प्रवास और आनुवंशिक ड्रिफ्ट,(A) और (C) दोनों,D,ANT_2fcc709e,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,14,प्रवास निम्नलिखित में से किसके द्वारा जीन आवृत्ति में परिवर्तन कर सकता और चयन को बदल देता है ?,आबादी में नये जीन डालना,आबादी से जीन हटाना,चयन द्वारा हटाए गए जीन को प्रतिस्थापित करना,उपर्युक्त सभी,D,ANT_1bcd8051,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,15,पोलिमार्फिक तत्त्व का लाभ यह है कि यह -,दिए गए क्षेत्र में सहअस्तित्व के लिए पृथक प्रजातियों को आने देता है।,किसी तत्त्व में अंतर तैयार करता है ।,संकर संतान में अधिक बल पैदा करता है ।,उपर्युक्त सभी ।,B,ANT_5cc4d926,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,16,यूरोप में बहुसंख्यक रॉक आर्ट निम्नलिखित में से किस स्थान में पाए जाते हैं ?,लौजेरी - हौटे,ला - फेरासि,लास्को,फोंटे गाउम,C,ANT_a5558f19,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,17,आवास संरचना के कृत्रिम निर्माण के सर्वप्रथम साक्ष्य निम्नलिखित में से किस स्थान पर मिलते हैं?,कोस्टिजेन्की,टॉराल्बा और अम्ब्रोला,टेरा आमटा,मोलोडोवा,C,ANT_a23148bc,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,18,निम्नलिखित कथनों में से कौन-सा कथन फ्रांज़ उरी बाउस के विचारों को प्रतिबिंबित नहीं करता है ?,सभी मानव जाति की समान क्षमता है ।,मानव प्रगति के यूनिलीनियल क्रम वैश्विक नहीं है।,संस्कृति का उद्गम आवश्यकता के कारण होता है।,संस्कृति संपूर्ण और विशिष्ट है ।,C,ANT_3521b19b,Identify the Incorrect Statement
Anthropology,Question Papers of NET Dec. 2012,Paper III,19,लेवि - स्ट्रॉस के अनुसार सकारात्मक विवाह नियम है,प्राथमिकता,संभाव्यता,निर्देशात्मक,निषेधात्मक,C,ANT_68487be4,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,20,"""ट्रेडीशनल सोसाइटी एण्ड टेक्नोलोजिकल चेंज"" नामक पुस्तक का लेखक निम्नलिखित में से कौन है ?",जी.एम. फोस्टर,सोल टैक्स,मार्गरेट मीड,एडवर्ड स्पाइसर,A,ANT_84481e7e,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,21,निम्नलिखित 'आवास के नियमों' में से कौन-सा नियम मानव समाज में बहुत कम प्रचलित है ?,द्विस्थानिक,मातृ स्थानिक,नव स्थानिक,मातु स्थानिक,D,ANT_7c6c4748,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,22,निम्नलिखित में से कौन-सी पुस्तक वेरियर एल्विन द्वारा नहीं लिखी गई है ?,द बैगा,द मूरिया एण्ड दियर घोटुल,बोंडो हाइलैंड्स,द नेक्ड नागा,D,ANT_31d4bf4c,Identify the Incorrect Statement
Anthropology,Question Papers of NET Dec. 2012,Paper III,23,निम्नलिखित में से कौन-सा कथन “संशलिष्टवाद” की सर्वोत्तम व्याख्या करता है ?,सांस्कृतिक मिश्रण (जिसमें धार्मिक मिश्रण भी शामिल है) जिसका उद्भव संस्कृति- संक्रमण से हुआ है।,"सांस्कृतिक विशिष्टताएँ, जो प्रजातीय सीमाएँ बनाए रखता है।",सांस्कृतिक अंतर जो समय और स्थान के पार होते हैं।,सांस्कृतिक समरूपीकरण जो वैश्वीकरण के कारण होता है।,A,ANT_37b604e3,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,24,निम्नलिखित में से यह किसका विश्वास है कि प्रजातियों का परिवर्तन पर्यावरणीय परिवर्तन से प्रभावित हुआ ?,ई. डार्विन,जे.बी. लामार्क,टी. माल्थस,सी. लायल,B,ANT_019c473d,Normal MCQ
Anthropology,Question Papers of NET Dec. 2012,Paper III,25,मानव हिंसा का सबसे पुराना प्रमाण निम्नलिखित स्थानों में से किस स्थान पर जाना जाता है ?,तिलवाड़ा,बीरभानपुर,सराय - नाहर - राय,आदमगढ़,C,ANT_0a2cb76a,Normal MCQ
