subject,exam_name,paper_number,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,unique_question_id,question_type
Archaeology,Question Papers of NET Dec. 2012,Paper III,1,होमोसेपियन्स नियण्डरथलेनसिस से सम्बद्ध सांस्कृतिक परम्परा को कहा जाता है :,आल्डोवन,माउस्टेरियन,क्लैक्टोनियन,डेनीसोवन,B,ARC_2ccf8a78,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,2,निम्नलिखित किस मानव-पूर्वज से मध्य पुरा पाषाणिक संस्कृति सम्बन्धित है ?,होमो इरेक्टस,आर्केइक होमो सेपियन्स,शारीरिक संरचना की दृष्टि से आधुनिक मानव,डेनीसोवन्स,C,ARC_760c0d2d,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,3,नियण्डरथल समाधि में पुष्प पराग प्राप्त हुआ था :,केबरा गुफा (इजरायल) से,शानीदार गुफा (इराक) से,ओल्डुवाई गार्ज (अफ्रीका) से,क्रेपिना गुफा (क्रोएशिया) से,B,ARC_613053de,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,4,निम्नलिखित में से भारत के किस राज्य में इसामपुर की अश्यूलियन खदान है ?,आन्ध्र प्रदेश,कर्नाटक,महाराष्ट्र,मध्य प्रदेश,B,ARC_a2251103,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,5,प्रवरा पर चिरकी का अन्वेषण किया था :,एच.डी. सांकलिया ने,गुडरून कार्विनस ने,आर.वी. जोशी ने,एम. के. धवलीकर ने,B,ARC_1632a679,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,6,भारत में निम्नलिखित पुरास्थलों में से कहाँ से शुतुरमुर्ग के अण्डे के छिलके से निर्मित मनकों के प्राचीनतम अवशेष प्राप्त हुए हैं ?,पाटने,चतुर्भुज नाला,चम्बल घाटी,भीमबेटका,A,ARC_a887f8d4,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,7,मध्य सोन घाटी में टोबा ज्वालामुखी राख से युक्त जमाव को कहा गया है :,सिहावल जमाव,पटपरा जमाव,खुटेली जमाव,खेतौही जमाव,C,ARC_4c1b01e9,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,8,चन्हू दाड़ो का उत्खनन किसके निर्देशन में किया गया था ?,जॉन मार्शल,ई.जे.एच. मैके,आर.ई.एम. व्हीलर,ऑरेल स्टीन,B,ARC_2f9929a3,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,9,अतरंजी खेड़ा के उत्खनन से उद्घाटित प्राचीनतम सास्कृतिक काल है :,परवर्ती हड़प्पन,गैरिक मृद्भाण्ड,कृष्ण-लोहित पात्र परम्परा,चित्रित धूसर पात्र परम्परा,B,ARC_41d995ca,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,10,निम्नलिखित विशेषताओं में से कौन सी हड़प्पन सभ्यता से सम्बन्धित नहीं है ?,बाह्य व्यापार,लौह तकनीक,बैल गाड़ी,स्वर्ण एवं रजत आभूषण,B,ARC_47778049,Identify the Incorrect Statement
