subject,exam_name,paper_number,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,unique_question_id,question_type
Indian Culture,Question Papers of NET Dec. 2012,Paper III,1,भारत में शैल चित्रकारी का सबसे बड़ा केन्द्र कौन सा है ?,अजन्ता,एलोरा,भीम बैठका,बाघ,C,IND_df59c9f5,Normal MCQ
Indian Culture,Question Papers of NET Dec. 2012,Paper III,2,जातक कथाएँ किस निकाय का भाग हैं ?,दीघ निकाय,अंगुत्तर निकाय,खुद्दक निकाय,सयुत्त निकाय,C,IND_83a5e491,Normal MCQ
Indian Culture,Question Papers of NET Dec. 2012,Paper III,3,मध्य प्रदेश के किस शिलालेख में अशोक के नाम का वर्णन है ?,साँची शिलालेख,गुर्जरा शिलालेख,रूप नाथ शिलालेख,भरहुत शिलालेख,B,IND_fd8fd6f2,Normal MCQ
Indian Culture,Question Papers of NET Dec. 2012,Paper III,4,हड़प्पा के अवशेषों को पहली बार किसने देखा ?,एम. व्हीलर,सर जॉन मार्शल,चार्ल्स मेसन,दयाराम साहनी,C,IND_4573e4d3,Normal MCQ
Indian Culture,Question Papers of NET Dec. 2012,Paper III,5,"वह सामान्य रोग, जिससे हड़प्पावासी पीड़ित बतलाए जाते थे :",जोड़ों का दर्द,पीलिया,मलेरिया,मधुमेह,C,IND_e184bdc3,Normal MCQ
Indian Culture,Question Papers of NET Dec. 2012,Paper III,6,हड़प्पावासियों के सम्बन्ध में निम्नलिखित पर विचार कीजिए : वे मातृ देवी की पूजा करते थे । वे वृक्षों की पूजा नहीं करते थे। वे ताम्बे के उपकरणों का प्रयोग करते थे । वे लोहे के उपकरणों का प्रयोग करते थे । उपरोक्त कथनों में से कौन से कथन सही हैं ?,1 और 3,2 और 4,3 और 4,4 और 1,A,IND_06bbf357,Identify the Incorrect Statement
Indian Culture,Question Papers of NET Dec. 2012,Paper III,7,कौन से उपनिषद् में प्रथम बार आत्मा के पुनर्जन्म का वर्णन हुआ है ?,ईश उपनिषद्,छान्दोग्य उपनिषद्,बृहदारण्यक उपनिषद्,कठोपनिषद्,C,IND_be00df00,Normal MCQ
Indian Culture,Question Papers of NET Dec. 2012,Paper III,8,गीता में इनके दर्शन समाहित हैं,सांख्य,योग,कर्म,उपरोक्त सभी,D,IND_689b544e,Normal MCQ
Indian Culture,Question Papers of NET Dec. 2012,Paper III,9,अनेकात्मवाद का सम्बन्ध है,बौद्ध धर्म,जैन धर्म,आजीविक वाद,ब्राह्मण वाद,B,IND_eb1f5b88,Normal MCQ
Indian Culture,Question Papers of NET Dec. 2012,Paper III,10,बौद्ध धर्म के आर्य अष्टांग मार्ग का कौन सा भाग नहीं है ?,सम्यक् आजीव,सम्यक् कर्म,सम्यक् वाक्,सम्यक् दिशा,D,IND_d09d01ff,Identify the Incorrect Statement
Indian Culture,Question Papers of NET Dec. 2012,Paper III,11,किस शिलालेख में अकाल राहत का वर्णन है ?,कलसी शिलालेख,विदिशा शिलालेख,सोहगौरा शिलालेख,हाथीगुम्फा शिलालेख,C,IND_c04afc2c,Normal MCQ
Indian Culture,Question Papers of NET Dec. 2012,Paper III,12,"निम्नलिखित दो कथनों में से पहले को अभिकथन (A) और दूसरे को तर्क (R) कहा गया है : अभिकथन (A) : मौर्य-कला एक राजकीय कला है। तर्क (R) : कला सम्बन्धी गतिविधियों को सरकार द्वारा चलाया जाता था । उपरोक्त कथनों के संदर्भ में, कौन सा कथन सही है ?",(A) और (R) दोनों सही हैं और (A) का (R) सही स्पष्टीकरण है ।,(A) और (R) दोनों सही हैं और (A) का (R) सही स्पष्टीकरण नहीं है।,"(A) सही है, परन्तु (R) गलत है ।","(A) गलत है, परन्तु (R) सही है ।",A,IND_87a2b154,Assertion and Reason
Indian Culture,Question Papers of NET Dec. 2012,Paper III,13,मौर्यों के अधीन ‘स्थानिक' पद क्या था ?,एक ग्रामीण अधिकारी,जनपद के चौथाई भाग का एक अधिकारी,5 ग्रामों का अधिकारी,एक राजस्व अधिकारी,D,IND_af0ca563,Normal MCQ
Indian Culture,Question Papers of NET Dec. 2012,Paper III,14,राज्य के सप्तांग सिद्धान्त का निम्नलिखित में से कौन सा हिस्सा नहीं है ?,स्वामिन्,अमात्य,कोष,श्रेणीबल,D,IND_4ee9c630,Identify the Incorrect Statement
Indian Culture,Question Papers of NET Dec. 2012,Paper III,15,बेसनगर स्तम्भ शिलालेख में किस इण्डो-ग्रीक राजा का वर्णन है ?,मेनेण्डर,हेलियोडोरस,डिमेट्रियस,ऐंटिलकाइडस,D,IND_65966e5c,Normal MCQ
Indian Culture,Question Papers of NET Dec. 2012,Paper III,16,अशोक के शिलालेखों में कितनी लिपियों का प्रयोग हुआ है ?,1,2,3,4,D,IND_dcd81a2a,Normal MCQ
Indian Culture,Question Papers of NET Dec. 2012,Paper III,17,अशोक के किस शिलालेख में पशुओं की चिकित्सा सम्बन्धी वर्णन आता है ?,II,V,VII,X,A,IND_72af417c,Normal MCQ
Indian Culture,Question Papers of NET Dec. 2012,Paper III,18,"निम्नलिखित दो कथनों में से पहले को अभिकथन (A) और दूसरे को तर्क (R) कहा गया है : अभिकथन (A) : शुंग कला मौर्य राजकीय कला की अवधारणा को नकारती है। तर्क (R) : कला सम्बन्धी गतिविधियों को समाज के सभी वर्गों का समर्थन मिलता था । उपरोक्त दो कथनों के संदर्भ में, निम्न में से कौन सा कथन सही है ?",(A) और (R) दोनों सही हैं और (A) का (R) सही स्पष्टीकरण है ।,"(A) और (R) दोनों सही हैं, परन्तु (A) का (R) सही स्पष्टीकरण नहीं है।","(A) सही है, परन्तु (R) गलत है ।","(A) गलत है, परन्तु (R) सही है ।",D,IND_074997bb,Assertion and Reason
Indian Culture,Question Papers of NET Dec. 2012,Paper III,19,"निम्न दो कथनों में से पहले को अभिकथन (A) और दूसरे को तर्क (R) कहा गया है : अभिकथन (A) : कुषाण राजाओं ने भारी गिनती में स्वर्ण सिक्कों को प्रारम्भ किया । तर्क (R) : उन्हें सोने के प्रति अत्यन्त सम्मोहन था । उपरोक्त दो कथनों के संदर्भ में, निम्न में से कौन सा सही है ?",(A) और (R) दोनों सही हैं और (A) का (R) सही स्पष्टीकरण है ।,"(A) और (R) दोनों सही हैं, परन्तु (A) का (R) सही स्पष्टीकरण नहीं है ।","(A) सही है, परन्तु (R) गलत है ।","(A) गलत है, परन्तु (R) सही है ।",C,IND_f9a463dd,Assertion and Reason
Indian Culture,Question Papers of NET Dec. 2012,Paper III,20,"निम्नलिखित दो कथनों में से प्रथम को अभिकथन (A) और द्वितीय को तर्क (R) कहा गया है : अभिकथन (A) : प्रभावती गुप्ता का विवाह रुद्रसेन द्वितीय से हुआ जो वाकाटक वंश का शासक था। तर्क (R) : गुप्त-राजाओं ने ब्राह्मण शासकीय वंश से वैवाहिक सम्बन्ध जोड़ कर अपनी सामाजिक स्थिति को बढ़ाना चाहा । उपरोक्त दो कथनों के संदर्भ में, निम्न में से कौन सा सही है ?",(A) और (R) दोनों सही हैं और (A) का (R) सही स्पष्टीकरण है ।,"(A) और (R) दोनों सही हैं, परन्तु (A) का (R) सही स्पष्टीकरण नहीं है।","(A) सही है, परन्तु (R) गलत है ।","(A) गलत है, परन्तु (R) सही है ।",A,IND_fe70d6d1,Assertion and Reason
Indian Culture,Question Papers of NET Dec. 2012,Paper III,21,निम्नलिखित कथनों पर विचार कीजिए : गुप्त-राजाओं से पूर्व स्वतन्त्र हिंदू मंदिरों का अस्तित्व नहीं था । एलोरा गुफाओं का सम्बन्ध केवल हिन्दू देवी-देवताओं से है। राजराज चोल ने तंजौर में भव्य शिव मंदिर का निर्माण करवाया । उपरोक्त कथनों में से कौन से कथन सही हैं ?,1 और 2,1 और 3,"1, 2, 2003",केवल 3,B,IND_1117772a,Identify the Incorrect Statement
Indian Culture,Question Papers of NET Dec. 2012,Paper III,22,"निम्नलिखित स्मारकों को कालक्रमानुसार रखिए : (1) सूर्य मंदिर, कोणार्क (2) पल्लव रथ, मामल्लपुरम (3) सिंह-शीष, सारनाथ (4) अमरावती स्तूप प्रदत्त कूट से सही उत्तर का चयन कीजिए :","(1), (2), (3), (4)","(2), (3), (1), (4)","(3), (4), (2), (1)","(4), (1), (2), (3)",C,IND_ca7a7a82,Sequence / Ordering
Indian Culture,Question Papers of NET Dec. 2012,Paper III,23,निम्नलिखित रचनाओं को कालक्रमानुसार क्रम दीजिए : (1) नागानंद (2) अर्थशास्त्र (3) दाय भाग (4) चरक संहिता प्रदत्त कूट से सही उत्तर का चयन कीजिए :,"(1), (2), (3), (4)","(2), (4), (1), (3)","(3), (4), (2), (1)","(4), (2), (1), (3)",B,IND_d0e939b1,Sequence / Ordering
