subject,exam_name,paper_number,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,unique_question_id,question_type
RABINDRA SANGEET,Question Papers of NET December 2015,Paper III,1,रबीन्द्रनाथ टैगोर द्वारा लिखित कौन-सा गीति-नाट्य उनका दूसरा गीति-नाट्य है ?,कालमृगया,मायर खेला,वाल्मीकि प्रतिभा,नॉटीर पुजा,A,RAB_80fd5ff6,Normal MCQ
RABINDRA SANGEET,Question Papers of NET December 2015,Paper III,2,आकाशवाणी' (ऑल इंडिया रेडियो) का मुख्यालय स्थित है :,पुणे में,कानपुर में,दिल्ली में,कोलकाता में,C,RAB_02abe7fd,Normal MCQ
RABINDRA SANGEET,Question Papers of NET December 2015,Paper III,3,"""तोमार सोनार थालाये सजाबो आज"" 'ऋणशोध' नाटक में इस गीत को किसने गाया ?",शेखर,लक्षेश्वर,विजयादित्य,संन्यासी,A,RAB_0aaf176e,Normal MCQ
RABINDRA SANGEET,Question Papers of NET December 2015,Paper III,4,"""तोपेर तापेर बांधन कातुक"" और ""ओई की एले आकाशपारे"" के बीच संगीत संवाद का स्रोत लिखें :",नटराज ऋतुरंगोशाला,शेष बर्षण,श्रावण गाथा,बर्षमंगल,A,RAB_93d3c504,Normal MCQ
RABINDRA SANGEET,Question Papers of NET December 2015,Paper III,5,दिनेंद्रनाथ की 'उत्सवराज' के रूप में किसने प्रशंसा की ?,रबीन्द्रनाथ,अबनीन्द्रनाथ,प्रशांत चंद्र महलानबीश,प्रमथनाथ बिष्ट,D,RAB_f589d990,Normal MCQ
RABINDRA SANGEET,Question Papers of NET December 2015,Paper III,6,"कार्तवीर्यअर्जुना' टैगोर का एक महत्वपूर्ण संदर्भ बिंदु है, जो निम्न में से किसमें पाया जाता है ?",संगीत ओ कबिता,अंतर बाहिर,आलाप आलोचना,सुर ओ संगति,C,RAB_2d555d09,Normal MCQ
RABINDRA SANGEET,Question Papers of NET December 2015,Paper III,7,कौन चाहते थे कि टैगोर खुद अपने गीतों को और अलंकृत बनायें ?,शांतिदेव घोष,दिलीप कुमार रे,धुर्जटी प्रसाद मुखोपाध्याय,अतुल प्रसाद सेन,B,RAB_b23f9338,Normal MCQ
RABINDRA SANGEET,Question Papers of NET December 2015,Paper III,8,टैगोर ने अपने पत्र में 'उभयलिंगी' शब्द का प्रयोग किया था। यह पत्र उन्होंने किसे लिखा था ?,आइंस्टीन,रोमा रौलां,धुर्जटी प्रसाद मुखोपाध्याय,शैलोजारंजन मजूमदार,C,RAB_7d954664,Normal MCQ
RABINDRA SANGEET,Question Papers of NET December 2015,Paper III,9,टैगोर के अनुसार 'उभयलिंगी' शब्द किससे संबंधित था ?,इंदिरा देवी और प्रमथा चौधरी,सुर और ताल,दिनेंद्रनाथ और कमला,पुरुष और प्रकृति का एकल वैवाहिक स्वरूप,D,RAB_4dc079ba,Normal MCQ
RABINDRA SANGEET,Question Papers of NET December 2015,Paper III,10,"""विश्व वीणा रबे"" गीत में प्रदर्शित ऋतुओं को सही क्रम में लिखें :",वर्षा - शरद - बसंत,बसंत - वर्षा - शरद,बसंत - शरद - वर्षा,शरद - बसंत - वर्षा,B,RAB_2bce3d92,Sequence / Ordering
