Subject,meta-llama/Llama-3.2-1B-Instruct,Qwen/Qwen2.5-3B-Instruct,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.1-8B-Instruct,google/gemma-3-27b-it,Qwen/Qwen3-30B-A3B,google/gemma-3-4b-it,CohereForAI/aya-expanse-8b,Qwen/Qwen3-4B-Instruct-2507,meta-llama/Llama-3.2-3B-Instruct,google/gemma-3-1b-it,CohereLabs/aya-expanse-32b
Anthropology,29.5,23.7,56.9,34.6,60.0,49.5,40.3,32.0,42.2,28.7,26.8,44.7
Archaeology,29.4,23.4,47.9,31.8,51.6,41.9,34.2,31.6,33.2,28.8,25.8,38.0
Comparative Study of Religions,31.9,24.9,68.9,49.1,70.3,64.5,50.2,45.6,44.8,35.6,23.3,64.6
Current Affairs,38.2,37.6,90.2,73.6,90.0,66.1,70.7,63.0,63.9,56.8,28.5,78.4
Defence and Strategic Studies,33.6,25.0,67.4,43.6,70.2,60.7,49.5,42.2,47.8,36.5,28.0,60.3
Drama and theatre,23.6,22.7,47.8,32.7,51.2,47.9,35.6,33.9,36.1,26.2,24.2,39.6
Economics,30.6,24.0,54.6,36.0,56.3,52.6,39.4,36.5,40.0,28.3,27.1,45.2
Education,29.0,21.3,62.1,43.6,65.1,59.4,47.2,41.5,43.8,33.6,20.7,52.5
History,28.1,21.1,49.9,34.3,52.0,42.2,34.9,29.5,34.0,26.8,22.6,42.9
Indian Culture,23.9,21.4,50.3,33.0,51.9,43.5,33.9,25.5,32.0,27.9,23.8,41.1
Karnatak Music,26.6,27.9,34.4,28.2,33.5,31.1,31.4,28.7,30.8,29.5,27.6,32.4
Law,29.1,20.7,48.5,33.4,48.2,41.9,36.2,32.6,36.8,30.3,22.2,41.1
Music,21.7,21.5,35.8,25.4,36.3,30.3,28.2,26.1,28.2,24.0,21.9,35.6
Percussion Instruments,30.5,28.0,33.7,31.0,35.9,34.1,34.9,29.7,33.6,25.5,28.9,33.7
Philosophy,27.7,19.5,53.7,36.4,53.5,47.2,35.6,33.5,37.0,26.7,18.0,45.9
Political Science,24.9,17.4,52.3,32.4,55.2,45.9,37.9,31.0,34.2,25.7,22.7,43.9
Psychology,28.4,20.9,53.6,31.7,57.5,50.2,37.7,33.2,41.3,29.0,24.9,43.8
RABINDRA SANGEET,28.0,26.4,32.2,28.8,36.9,31.6,31.3,24.4,32.6,28.2,26.0,32.6
Sociology,30.6,20.7,63.1,37.4,63.1,52.6,42.7,39.0,39.2,29.6,23.8,51.2
Tribal and Regional Language_Literature,32.6,23.4,59.1,43.5,59.1,54.5,41.9,38.3,38.3,35.0,25.2,53.7
Yoga,33.8,16.6,62.8,38.1,63.1,52.6,41.7,38.7,44.1,27.8,23.0,49.8
